percent-small-packet,percent-medium-packet,percent-big-packet,average-payload,stamp
0.904,0.084,8.40E-05,127.815,1
0.475,0.277,0.000277,456.678,1
0.867,0.113,0.000113,152.644,1
0.962,0.031,3.10E-05,113.164,1
0.962,0.03,3.00E-05,113.799,1
0.592,0.207,0.000207,383.248,1
0.689,0.25,0.00025,225.814,1
0.959,0.032,3.20E-05,114.487,1
0.953,0.035,3.50E-05,119.91,1
0.577,0.217,0.000217,391.432,1
0.788,0.186,0.000186,177.227,1
0.964,0.028,2.80E-05,113.069,1
0.896,0.092,9.20E-05,128.606,1
0.53,0.231,0.000231,440.498,1
0.821,0.155,0.000155,166.092,1
0.921,0.055,5.50E-05,143.967,1
0.887,0.094,9.40E-05,129.507,1
0.877,0.102,0.000102,131.498,1
0.582,0.212,0.000212,395.674,1
0.892,0.096,9.60E-05,138.21,1
0.97,0.022,2.20E-05,109.329,1
0.963,0.029,2.90E-05,113.414,1
0.803,0.144,0.000144,184.382,1
0.56,0.263,0.000263,380.635,1
0.951,0.042,4.20E-05,117.999,1
0.954,0.032,3.20E-05,122.876,1
0.677,0.17,0.00017,320.125,1
0.595,0.271,0.000271,328.149,1
0.945,0.04,4.00E-05,127.561,1
0.964,0.029,2.90E-05,114.008,1
0.592,0.213,0.000213,382.051,1
0.747,0.201,0.000201,211.404,1
0.953,0.039,3.90E-05,116.324,1
0.952,0.036,3.60E-05,120.986,1
0.48,0.268,0.000268,461.026,1
0.806,0.165,0.000165,173.667,1
0.96,0.03,3.00E-05,116.983,1
0.878,0.109,0.000109,132.268,1
0.466,0.253,0.000253,498.448,1
0.869,0.11,0.00011,159.344,1
0.958,0.032,3.20E-05,115.267,1
0.803,0.145,0.000145,188.125,1
0.507,0.248,0.000248,458.939,1
0.94,0.05,5.00E-05,125.131,1
0.952,0.035,3.50E-05,119.822,1
0.711,0.171,0.000171,276.546,1
0.577,0.282,0.000282,334.264,1
0.954,0.033,3.30E-05,121.626,1
0.964,0.029,2.90E-05,114.224,1
0.613,0.195,0.000195,374.487,1
0.669,0.268,0.000268,234.744,1
0.966,0.027,2.70E-05,112.569,1
0.963,0.029,2.90E-05,113.188,1
0.534,0.246,0.000246,416.966,1
0.787,0.192,0.000192,170.085,1
0.967,0.026,2.60E-05,110.78,1
0.956,0.033,3.30E-05,119.987,1
0.626,0.186,0.000186,367.14,1
0.686,0.252,0.000252,232.869,1
0.965,0.03,3.00E-05,110.039,1
0.955,0.034,3.40E-05,120.672,1
0.544,0.227,0.000227,428.989,1
0.718,0.247,0.000247,195.647,1
0.964,0.028,2.80E-05,113.282,1
0.961,0.031,3.10E-05,116.227,1
0.48,0.267,0.000267,460.926,1
0.801,0.184,0.000184,163.253,1
0.965,0.028,2.80E-05,113.271,1
0.859,0.122,0.000122,141.607,1
0.499,0.291,0.000291,416.778,1
0.906,0.084,8.40E-05,135.543,1
0.965,0.028,2.80E-05,112.889,1
0.965,0.028,2.80E-05,113.423,1
0.545,0.223,0.000223,428.89,1
0.755,0.217,0.000217,184.045,1
0.95,0.042,4.20E-05,116.606,1
0.953,0.036,3.60E-05,121.659,1
0.477,0.306,0.000306,425.747,1
0.847,0.139,0.000139,155.357,1
0.958,0.035,3.50E-05,113.596,1
0.804,0.165,0.000165,163.132,1
0.494,0.245,0.000245,471.351,1
0.893,0.092,9.20E-05,145.036,1
0.954,0.035,3.50E-05,115.737,1
0.794,0.145,0.000145,198.858,1
0.548,0.279,0.000279,373.417,1
0.949,0.043,4.30E-05,119.316,1
0.95,0.043,4.30E-05,118.632,1
0.668,0.162,0.000162,342.378,1
0.609,0.299,0.000299,276.286,1
0.947,0.04,4.00E-05,122.476,1
0.965,0.027,2.70E-05,113.98,1
0.587,0.206,0.000206,394.836,1
0.706,0.252,0.000252,203.038,1
0.962,0.03,3.00E-05,114.596,1
0.951,0.037,3.70E-05,120.377,1
0.487,0.268,0.000268,449.855,1
0.814,0.172,0.000172,156.431,1
0.954,0.031,3.10E-05,123.99,1
0.965,0.027,2.70E-05,112.842,1
0.576,0.199,0.000199,416.782,1
0.709,0.245,0.000245,207.771,1
0.959,0.031,3.10E-05,116.417,1
0.958,0.032,3.20E-05,116.262,1
0.503,0.278,0.000278,420,1
0.786,0.197,0.000197,165.843,1
0.965,0.028,2.80E-05,112.033,1
0.906,0.081,8.10E-05,129.333,1
0.47,0.259,0.000259,487.483,1
0.836,0.145,0.000145,163.404,1
0.962,0.029,2.90E-05,113.617,1
0.842,0.139,0.000139,144.79,1
0.517,0.265,0.000265,422.027,1
0.923,0.068,6.80E-05,134.732,1
0.943,0.042,4.20E-05,124.895,1
0.798,0.139,0.000139,200.076,1
0.525,0.289,0.000289,387.371,1
0.925,0.062,6.20E-05,129.833,1
0.96,0.031,3.10E-05,112.782,1
0.673,0.159,0.000159,336.214,1
0.646,0.266,0.000266,272.092,1
0.964,0.029,2.90E-05,112.956,1
0.957,0.032,3.20E-05,119.49,1
0.549,0.249,0.000249,394.814,1
0.715,0.203,0.000203,248.181,1
0.96,0.032,3.20E-05,113.972,1
0.964,0.028,2.80E-05,114.424,1
0.474,0.265,0.000265,471.514,1
0.798,0.182,0.000182,165.801,1
0.964,0.029,2.90E-05,114.501,1
0.853,0.132,0.000132,137.105,1
0.495,0.255,0.000255,461.09,1
0.9,0.09,9.00E-05,141.2,1
0.952,0.036,3.60E-05,119.037,1
0.746,0.163,0.000163,238.979,1
0.548,0.28,0.00028,374.732,1
0.933,0.051,5.10E-05,133.828,1
0.963,0.03,3.00E-05,111.976,1
0.673,0.152,0.000152,343.68,1
0.621,0.294,0.000294,269.863,1
0.962,0.03,3.00E-05,114.981,1
0.966,0.027,2.70E-05,113.051,1
0.568,0.218,0.000218,403.178,1
0.72,0.242,0.000242,198.194,1
0.964,0.028,2.80E-05,114.168,1
0.963,0.029,2.90E-05,113.779,1
0.493,0.27,0.00027,443.55,1
0.789,0.188,0.000188,169.462,1
0.967,0.026,2.60E-05,112.683,1
0.88,0.101,0.000101,137.795,1
0.496,0.268,0.000268,443.857,1
0.884,0.105,0.000105,137.446,1
0.965,0.028,2.80E-05,112.96,1
0.958,0.034,3.40E-05,116.006,1
0.54,0.25,0.00025,404.741,1
0.76,0.211,0.000211,179.509,1
0.963,0.03,3.00E-05,113.43,1
0.962,0.031,3.10E-05,113.339,1
0.458,0.256,0.000256,502.848,1
0.822,0.162,0.000162,156.973,1
0.948,0.041,4.10E-05,118.641,1
0.963,0.03,3.00E-05,113.456,1
0.62,0.189,0.000189,374.958,1
0.689,0.261,0.000261,216.192,1
0.961,0.031,3.10E-05,113.984,1
0.96,0.03,3.00E-05,117.088,1
0.505,0.279,0.000279,417.934,1
0.815,0.171,0.000171,157.778,1
0.964,0.029,2.90E-05,111.847,1
0.873,0.11,0.00011,135.538,1
0.471,0.246,0.000246,501.054,1
0.842,0.133,0.000133,166.05,1
0.962,0.029,2.90E-05,114.201,1
0.825,0.148,0.000148,156.404,1
0.486,0.252,0.000252,472.293,1
0.922,0.067,6.70E-05,134.356,1
0.955,0.032,3.20E-05,121.652,1
0.969,0.024,2.40E-05,111.971,1
0.502,0.276,0.000276,427.156,1
0.817,0.165,0.000165,160.72,1
0.964,0.029,2.90E-05,111.757,1
0.872,0.111,0.000111,135.228,1
0.482,0.268,0.000268,461.339,1
0.902,0.089,8.90E-05,136.113,1
0.955,0.036,3.60E-05,113.42,1
0.763,0.164,0.000164,216.537,1
0.54,0.273,0.000273,389.056,1
0.938,0.053,5.30E-05,123.907,1
0.957,0.032,3.20E-05,117.523,1
0.686,0.148,0.000148,330.561,1
0.644,0.279,0.000279,255.62,1
0.959,0.033,3.30E-05,114.327,1
0.958,0.031,3.10E-05,118.51,1
0.552,0.224,0.000224,416.328,1
0.751,0.216,0.000216,186.918,1
0.963,0.029,2.90E-05,113.639,1
0.951,0.037,3.70E-05,119.719,1
0.468,0.308,0.000308,431.013,1
0.856,0.128,0.000128,151.229,1
0.959,0.034,3.40E-05,112.745,1
0.821,0.147,0.000147,163.501,1
0.523,0.273,0.000273,409.592,1
0.928,0.064,6.40E-05,125.809,1
0.949,0.039,3.90E-05,118.819,1
0.736,0.153,0.000153,261.329,1
0.582,0.261,0.000261,346.949,1
0.945,0.042,4.20E-05,122.687,1
0.963,0.029,2.90E-05,114.235,1
0.633,0.193,0.000193,349.586,1
0.697,0.242,0.000242,225.116,1
0.957,0.031,3.10E-05,122.033,1
0.957,0.035,3.50E-05,111.969,1
0.751,0.156,0.000156,241.884,1
0.534,0.262,0.000262,406.801,1
0.94,0.048,4.80E-05,125.014,1
0.953,0.039,3.90E-05,114.561,1
0.682,0.174,0.000174,307.294,1
0.553,0.281,0.000281,367.439,1
0.951,0.04,4.00E-05,119.919,1
0.961,0.029,2.90E-05,115.24,1
0.873,0.11,0.00011,134.709,1
0.494,0.266,0.000266,449.107,1
0.876,0.108,0.000108,149.852,1
0.959,0.034,3.40E-05,110.119,1
0.786,0.153,0.000153,200.735,1
0.485,0.265,0.000265,468.216,1
0.925,0.059,5.90E-05,137.714,1
0.951,0.039,3.90E-05,116.104,1
0.731,0.167,0.000167,254.558,1
0.602,0.287,0.000287,297.918,1
0.96,0.032,3.20E-05,114.633,1
0.96,0.033,3.30E-05,114.341,1
0.568,0.207,0.000207,416.287,1
0.724,0.245,0.000245,194.511,1
0.959,0.034,3.40E-05,113.083,1
0.945,0.044,4.40E-05,122.562,1
0.457,0.304,0.000304,446.993,1
0.862,0.122,0.000122,153.384,1
0.956,0.035,3.50E-05,114.291,1
0.842,0.137,0.000137,146.431,1
0.506,0.267,0.000267,434.675,1
0.911,0.079,7.90E-05,133.869,1
0.95,0.037,3.70E-05,119.211,1
0.759,0.149,0.000149,238.5,1
0.536,0.264,0.000264,407.021,1
0.932,0.054,5.40E-05,131.22,1
0.951,0.042,4.20E-05,115.444,1
0.67,0.169,0.000169,331.547,1
0.616,0.272,0.000272,299.116,1
0.943,0.04,4.00E-05,128.713,1
0.96,0.033,3.30E-05,113.616,1
0.614,0.205,0.000205,359.318,1
0.708,0.249,0.000249,208.662,1
0.963,0.03,3.00E-05,113.561,1
0.955,0.039,3.90E-05,116.047,1
0.513,0.259,0.000259,423.432,1
0.783,0.184,0.000184,181.734,1
0.963,0.03,3.00E-05,112.101,1
0.855,0.122,0.000122,144.791,1
0.508,0.287,0.000287,409.047,1
0.929,0.064,6.40E-05,125.87,1
0.964,0.029,2.90E-05,113.066,1
0.949,0.043,4.30E-05,118.354,1
0.47,0.317,0.000317,421.177,1
0.878,0.11,0.00011,146.493,1
0.952,0.041,4.10E-05,112.456,1
0.824,0.149,0.000149,154.111,1
0.518,0.275,0.000275,415.646,1
0.934,0.054,5.40E-05,131.171,1
0.962,0.031,3.10E-05,112.743,1
0.716,0.162,0.000162,277.775,1
0.601,0.258,0.000258,329.465,1
0.954,0.039,3.90E-05,117.058,1
0.962,0.029,2.90E-05,113.797,1
0.838,0.131,0.000131,158.843,1
0.503,0.29,0.00029,416.199,1
0.94,0.051,5.10E-05,122.804,1
0.953,0.035,3.50E-05,116.718,1
0.706,0.162,0.000162,289.469,1
0.609,0.272,0.000272,313.258,1
0.948,0.04,4.00E-05,122.026,1
0.964,0.029,2.90E-05,112.659,1
0.594,0.197,0.000197,396.644,1
0.687,0.255,0.000255,221.783,1
0.962,0.031,3.10E-05,112.676,1
0.963,0.029,2.90E-05,114.531,1
0.489,0.281,0.000281,434.232,1
0.826,0.155,0.000155,160.209,1
0.946,0.047,4.70E-05,114.771,1
0.875,0.104,0.000104,138.762,1
0.498,0.273,0.000273,433.217,1
0.894,0.096,9.60E-05,140.749,1
0.956,0.035,3.50E-05,112.589,1
0.787,0.161,0.000161,190.063,1
0.555,0.269,0.000269,378.688,1
0.949,0.042,4.20E-05,118.908,1
0.957,0.031,3.10E-05,119.212,1
0.638,0.154,0.000154,385.041,1
0.589,0.271,0.000271,332.053,1
0.948,0.042,4.20E-05,121.538,1
0.961,0.032,3.20E-05,113.277,1
0.609,0.213,0.000213,359.9,1
0.719,0.236,0.000236,205.832,1
0.961,0.031,3.10E-05,113.906,1
0.959,0.035,3.50E-05,114.877,1
0.527,0.248,0.000248,420.355,1
0.783,0.187,0.000187,175.174,1
0.961,0.032,3.20E-05,112.412,1
0.938,0.053,5.30E-05,119.832,1
0.463,0.266,0.000266,483.899,1
0.854,0.13,0.00013,153.756,1
0.951,0.035,3.50E-05,122.428,1
0.963,0.03,3.00E-05,112.317,1
0.547,0.227,0.000227,424.119,1
0.73,0.234,0.000234,196.024,1
0.961,0.031,3.10E-05,112.653,1
0.959,0.033,3.30E-05,116.927,1
0.481,0.289,0.000289,442.63,1
0.804,0.182,0.000182,158.392,1
0.963,0.029,2.90E-05,112.421,1
0.86,0.119,0.000119,142.292,1
0.511,0.252,0.000252,442.378,1
0.892,0.097,9.70E-05,139.199,1
0.949,0.038,3.80E-05,118.976,1
0.779,0.155,0.000155,205.212,1
0.553,0.254,0.000254,391.549,1
0.938,0.054,5.40E-05,124.063,1
0.956,0.036,3.60E-05,115.352,1
0.929,0.062,6.20E-05,120.903,1
0.461,0.292,0.000292,457.239,1
0.863,0.117,0.000117,156.426,1
0.945,0.043,4.30E-05,120.39,1
0.809,0.138,0.000138,185.935,1
0.491,0.257,0.000257,462.067,1
0.922,0.066,6.60E-05,132.918,1
0.949,0.038,3.80E-05,119.439,1
0.708,0.168,0.000168,284.648,1
0.592,0.275,0.000275,324.084,1
0.942,0.039,3.90E-05,128.988,1
0.96,0.032,3.20E-05,113.874,1
0.608,0.188,0.000188,390.535,1
0.683,0.25,0.00025,232.857,1
0.956,0.033,3.30E-05,118.03,1
0.961,0.032,3.20E-05,112.321,1
0.537,0.249,0.000249,408.352,1
0.751,0.224,0.000224,177.087,1
0.965,0.028,2.80E-05,112.569,1
0.962,0.03,3.00E-05,112.774,1
0.469,0.275,0.000275,465.763,1
0.795,0.179,0.000179,173.263,1
0.962,0.031,3.10E-05,112.264,1
0.909,0.083,8.30E-05,122.609,1
0.457,0.272,0.000272,486.053,1
0.854,0.124,0.000124,163.803,1
0.958,0.031,3.10E-05,117.261,1
0.827,0.151,0.000151,153.195,1
0.502,0.26,0.00026,445.62,1
0.918,0.071,7.10E-05,133.37,1
0.948,0.039,3.90E-05,118.937,1
0.782,0.154,0.000154,203.894,1
0.54,0.242,0.000242,420.129,1
0.929,0.057,5.70E-05,130.478,1
0.962,0.031,3.10E-05,111.654,1
0.926,0.064,6.40E-05,121.053,1
0.477,0.313,0.000313,415.742,1
0.909,0.082,8.20E-05,133.03,1
0.961,0.031,3.10E-05,113.896,1
0.961,0.033,3.30E-05,112.085,1
0.511,0.268,0.000268,422.157,1
0.783,0.195,0.000195,173.322,1
0.961,0.032,3.20E-05,111.875,1
0.906,0.077,7.70E-05,131.918,1
0.511,0.216,0.000216,480.089,1
0.813,0.168,0.000168,160.641,1
0.952,0.041,4.10E-05,113.768,1
0.849,0.126,0.000126,145.303,1
0.472,0.262,0.000262,485.848,1
0.887,0.097,9.70E-05,147.078,1
0.958,0.034,3.40E-05,113.563,1
0.83,0.144,0.000144,155.063,1
0.51,0.292,0.000292,405.604,1
0.941,0.05,5.00E-05,122.689,1
0.96,0.033,3.30E-05,110.397,1
0.69,0.163,0.000163,310.299,1
0.634,0.276,0.000276,269.45,1
0.953,0.035,3.50E-05,121.388,1
0.967,0.026,2.60E-05,114.101,1
0.537,0.244,0.000244,415.947,1
0.766,0.206,0.000206,180.785,1
0.958,0.035,3.50E-05,113.567,1
0.962,0.031,3.10E-05,114.016,1
0.462,0.275,0.000275,477.609,1
0.814,0.169,0.000169,160.347,1
0.961,0.032,3.20E-05,112.594,1
0.847,0.132,0.000132,144.314,1
0.513,0.243,0.000243,448.871,1
0.89,0.095,9.50E-05,144.99,1
0.947,0.04,4.00E-05,119.225,1
0.772,0.154,0.000154,216.834,1
0.551,0.267,0.000267,381.308,1
0.938,0.054,5.40E-05,122.71,1
0.961,0.032,3.20E-05,111.553,1
0.89,0.09,9.00E-05,136.23,1
0.459,0.266,0.000266,491.045,1
0.848,0.13,0.00013,163.517,1
0.952,0.037,3.70E-05,118.663,1
0.817,0.142,0.000142,171.34,1
0.488,0.269,0.000269,460.212,1
0.943,0.047,4.70E-05,126.049,1
0.956,0.036,3.60E-05,113.524,1
0.731,0.174,0.000174,247.773,1
0.617,0.254,0.000254,312.264,1
0.951,0.04,4.00E-05,120.803,1
0.944,0.044,4.40E-05,118.343,1
0.802,0.148,0.000148,183.018,1
0.512,0.26,0.00026,434.645,1
0.944,0.046,4.60E-05,123.098,1
0.946,0.041,4.10E-05,121.929,1
0.707,0.163,0.000163,291.056,1
0.611,0.262,0.000262,316.953,1
0.953,0.038,3.80E-05,117.449,1
0.962,0.031,3.10E-05,112.353,1
0.599,0.205,0.000205,382.427,1
0.708,0.233,0.000233,221.125,1
0.956,0.037,3.70E-05,117.254,1
0.942,0.046,4.60E-05,120.579,1
0.752,0.161,0.000161,233.434,1
0.582,0.268,0.000268,346.471,1
0.945,0.043,4.30E-05,123.487,1
0.963,0.03,3.00E-05,112.006,1
0.617,0.191,0.000191,373.012,1
0.675,0.257,0.000257,236.73,1
0.964,0.029,2.90E-05,111.609,1
0.96,0.032,3.20E-05,115.426,1
0.512,0.266,0.000266,421.647,1
0.793,0.185,0.000185,164.971,1
0.961,0.032,3.20E-05,110.965,1
0.896,0.085,8.50E-05,133.804,1
0.483,0.304,0.000304,418.208,1
0.895,0.095,9.50E-05,140.263,1
0.96,0.033,3.30E-05,110.365,1
0.817,0.148,0.000148,168.123,1
0.503,0.263,0.000263,440.934,1
0.924,0.068,6.80E-05,130.65,1
0.96,0.032,3.20E-05,113.313,1
0.755,0.165,0.000165,226.037,1
0.564,0.261,0.000261,373.726,1
0.939,0.052,5.20E-05,119.263,1
0.96,0.032,3.20E-05,114.018,1
0.626,0.171,0.000171,381.967,1
0.641,0.273,0.000273,263.912,1
0.955,0.03,3.00E-05,122.552,1
0.961,0.032,3.20E-05,112.442,1
0.56,0.245,0.000245,385.396,1
0.763,0.209,0.000209,179.685,1
0.965,0.028,2.80E-05,114.784,1
0.896,0.091,9.10E-05,132.167,1
0.479,0.272,0.000272,456.751,1
0.868,0.116,0.000116,150.345,1
0.951,0.041,4.10E-05,113.399,1
0.811,0.152,0.000152,168.478,1
0.525,0.273,0.000273,405.753,1
0.935,0.058,5.80E-05,123.967,1
0.962,0.03,3.00E-05,113.694,1
0.934,0.058,5.80E-05,120.188,1
0.461,0.317,0.000317,428.716,1
0.792,0.181,0.000181,163.348,1
0.477,0.306,0.000306,420.594,1
0.87,0.121,0.000121,140.094,1
0.962,0.03,3.00E-05,116.488,1
0.954,0.035,3.50E-05,121.796,1
0.53,0.205,0.000205,465.239,1
0.723,0.247,0.000247,190.077,1
0.964,0.028,2.80E-05,115.161,1
0.962,0.03,3.00E-05,115.688,1
0.463,0.318,0.000318,428.093,1
0.853,0.134,0.000134,148.795,1
0.96,0.036,3.60E-05,111.988,1
0.958,0.031,3.10E-05,120.667,1
0.534,0.22,0.00022,447.046,1
0.592,0.213,0.000213,393.956,1
0.952,0.035,3.50E-05,122.154,1
0.962,0.031,3.10E-05,112.267,1
0.566,0.211,0.000211,415.284,1
0.701,0.252,0.000252,213.789,1
0.965,0.028,2.80E-05,112.74,1
0.955,0.035,3.50E-05,119.113,1
0.514,0.27,0.00027,417.201,1
0.794,0.192,0.000192,161.686,1
0.962,0.031,3.10E-05,112.908,1
0.881,0.104,0.000104,132.917,1
0.494,0.29,0.00029,422.855,1
0.909,0.082,8.20E-05,134.146,1
0.947,0.04,4.00E-05,119.328,1
0.791,0.153,0.000153,193.465,1
0.529,0.281,0.000281,396.493,1
0.94,0.049,4.90E-05,125.87,1
0.96,0.033,3.30E-05,112.73,1
0.698,0.155,0.000155,308.393,1
0.614,0.271,0.000271,294.119,1
0.95,0.04,4.00E-05,121.637,1
0.941,0.047,4.70E-05,123.092,1
0.801,0.152,0.000152,183.329,1
0.518,0.276,0.000276,413.683,1
0.941,0.05,5.00E-05,124.379,1
0.943,0.046,4.60E-05,120.831,1
0.701,0.165,0.000165,295.484,1
0.605,0.288,0.000288,297.028,1
0.949,0.039,3.90E-05,121.875,1
0.962,0.031,3.10E-05,113.861,1
0.598,0.19,0.00019,397.587,1
0.674,0.25,0.00025,248.266,1
0.961,0.032,3.20E-05,113.615,1
0.961,0.032,3.20E-05,113.267,1
0.533,0.226,0.000226,441.374,1
0.709,0.245,0.000245,209.215,1
0.952,0.039,3.90E-05,118.166,1
0.962,0.03,3.00E-05,114.142,1
0.478,0.282,0.000282,446.506,1
0.804,0.173,0.000173,167.992,1
0.963,0.029,2.90E-05,112.369,1
0.874,0.099,9.90E-05,148.011,1
0.498,0.292,0.000292,412.804,1
0.913,0.077,7.70E-05,134.941,1
0.946,0.042,4.20E-05,118.756,1
0.767,0.165,0.000165,210.536,1
0.554,0.262,0.000262,384.35,1
0.937,0.053,5.30E-05,123.438,1
0.96,0.032,3.20E-05,112.816,1
0.861,0.109,0.000109,149.359,1
0.708,0.166,0.000166,280.233,1
0.58,0.283,0.000283,330.51,1
0.956,0.035,3.50E-05,115.571,1
0.954,0.034,3.40E-05,119.274,1
0.609,0.203,0.000203,367.796,1
0.677,0.258,0.000258,233.108,1
0.967,0.027,2.70E-05,111.908,1
0.96,0.031,3.10E-05,114.261,1
0.514,0.256,0.000256,429.657,1
0.765,0.189,0.000189,199.343,1
0.966,0.027,2.70E-05,110.773,1
0.962,0.03,3.00E-05,113.976,1
0.662,0.168,0.000168,337.319,1
0.668,0.263,0.000263,243.509,1
0.956,0.038,3.80E-05,114.967,1
0.957,0.037,3.70E-05,115.313,1
0.554,0.235,0.000235,404.272,1
0.753,0.213,0.000213,187.743,1
0.965,0.028,2.80E-05,111.593,1
0.963,0.029,2.90E-05,114.136,1
0.459,0.265,0.000265,490.741,1
0.789,0.188,0.000188,168.644,1
0.962,0.031,3.10E-05,111.501,1
0.865,0.114,0.000114,139.322,1
0.497,0.276,0.000276,437.864,1
0.898,0.094,9.40E-05,142.867,1
0.952,0.037,3.70E-05,115.508,1
0.784,0.164,0.000164,190.536,1
0.544,0.274,0.000274,381.072,1
0.939,0.047,4.70E-05,125.943,1
0.961,0.032,3.20E-05,112.79,1
0.646,0.185,0.000185,342.286,1
0.651,0.274,0.000274,253.04,1
0.957,0.03,3.00E-05,120.012,1
0.962,0.031,3.10E-05,112.475,1
0.548,0.222,0.000222,426.228,1
0.735,0.232,0.000232,190.111,1
0.961,0.027,2.70E-05,117.369,1
0.96,0.033,3.30E-05,112.209,1
0.67,0.175,0.000175,322.796,1
0.624,0.289,0.000289,269.429,1
0.953,0.034,3.40E-05,120.384,1
0.963,0.029,2.90E-05,113.798,1
0.592,0.207,0.000207,388.014,1
0.72,0.238,0.000238,203.05,1
0.953,0.035,3.50E-05,120.683,1
0.964,0.029,2.90E-05,113.959,1
0.489,0.259,0.000259,459.443,1
0.82,0.166,0.000166,160.088,1
0.965,0.028,2.80E-05,111.506,1
0.869,0.114,0.000114,138.864,1
0.49,0.279,0.000279,443.31,1
0.88,0.109,0.000109,143.817,1
0.952,0.036,3.60E-05,117.7,1
0.792,0.15,0.00015,196.238,1
0.57,0.265,0.000265,360.538,1
0.949,0.043,4.30E-05,119.868,1
0.96,0.032,3.20E-05,112.98,1
0.902,0.082,8.20E-05,130.869,1
0.49,0.284,0.000284,430.031,1
0.878,0.109,0.000109,144.784,1
0.954,0.034,3.40E-05,116.572,1
0.802,0.153,0.000153,179.795,1
0.544,0.257,0.000257,399.627,1
0.939,0.051,5.10E-05,125.613,1
0.961,0.032,3.20E-05,111.588,1
0.883,0.097,9.70E-05,137.118,1
0.491,0.27,0.00027,447.366,1
0.873,0.116,0.000116,147.301,1
0.952,0.042,4.20E-05,116.267,1
0.944,0.047,4.70E-05,120.021,1
0.456,0.283,0.000283,474.524,1
0.847,0.134,0.000134,161.081,1
0.96,0.032,3.20E-05,112.8,1
0.817,0.161,0.000161,152.246,1
0.462,0.22,0.00022,540,1
0.886,0.101,0.000101,145.534,1
0.948,0.04,4.00E-05,119.943,1
0.805,0.146,0.000146,183.007,1
0.552,0.277,0.000277,370.456,1
0.934,0.054,5.40E-05,125.399,1
0.952,0.04,4.00E-05,115.205,1
0.69,0.155,0.000155,316.385,1
0.642,0.282,0.000282,252.065,1
0.951,0.037,3.70E-05,122.694,1
0.964,0.028,2.80E-05,115.267,1
0.565,0.218,0.000218,406.132,1
0.723,0.241,0.000241,198.508,1
0.963,0.03,3.00E-05,113.085,1
0.962,0.031,3.10E-05,114.016,1
0.489,0.292,0.000292,421.402,1
0.844,0.138,0.000138,153.667,1
0.962,0.03,3.00E-05,113.747,1
0.962,0.031,3.10E-05,112.898,1
0.536,0.217,0.000217,444.742,1
0.727,0.226,0.000226,207.066,1
0.96,0.03,3.00E-05,117.762,1
0.96,0.032,3.20E-05,117.153,1
0.477,0.29,0.00029,440.429,1
0.828,0.156,0.000156,157.622,1
0.957,0.032,3.20E-05,118.019,1
0.88,0.103,0.000103,135.554,1
0.479,0.269,0.000269,465.188,1
0.893,0.098,9.80E-05,139.982,1
0.948,0.04,4.00E-05,118.006,1
0.758,0.158,0.000158,227.44,1
0.573,0.267,0.000267,356.774,1
0.938,0.047,4.70E-05,125.577,1
0.964,0.029,2.90E-05,111.559,1
0.646,0.182,0.000182,345.665,1
0.674,0.26,0.00026,237.348,1
0.959,0.029,2.90E-05,119.298,1
0.965,0.031,3.10E-05,107.822,1
0.561,0.232,0.000232,393.418,1
0.791,0.187,0.000187,165.358,1
0.969,0.024,2.40E-05,110.581,1
0.961,0.031,3.10E-05,113.176,1
